,tempo_ate_escola,tempo_de_estudo,atividades_extra_curriculares,quer_entrar_na_universidade,internet_casa,tempo_livre_depois_escola,sai_com_amigos,estado_saude,numero_de_faltas,aprovacao
53,1,2,0,1,1,4,2,3,0,1
54,1,3,0,1,1,3,2,5,4,1
55,1,1,0,1,1,4,2,5,0,1
56,2,1,1,1,1,3,3,2,8,0
57,1,2,0,1,1,1,5,4,0,0
58,1,3,0,1,0,4,3,5,12,1
59,1,2,0,1,1,3,2,2,0,0
60,1,3,1,1,1,2,4,2,6,1
61,1,2,0,1,1,5,2,4,3,1
62,1,1,0,1,1,2,2,5,2,1
63,1,1,0,0,1,4,5,1,16,0
64,1,2,0,1,0,3,5,5,2,1
65,1,2,1,1,1,4,2,5,10,1
66,1,2,1,1,1,3,3,1,56,0
67,1,2,1,1,1,3,2,5,2,0
68,4,1,1,1,1,5,5,5,6,1
69,1,1,0,0,1,3,5,4,0,0
70,2,2,1,1,1,3,3,5,14,0
71,1,3,1,1,1,4,4,4,2,0
72,1,2,1,1,0,4,2,5,0,1
73,1,1,1,1,1,1,3,5,4,1
74,1,2,0,1,0,4,4,5,0,1
75,2,2,0,1,0,3,4,3,6,0
76,4,2,1,0,0,3,5,5,0,0
77,3,1,0,1,1,4,4,5,4,0
78,1,2,1,1,1,4,3,1,4,0
79,1,2,1,1,1,5,1,5,2,1
80,1,2,1,1,1,3,4,1,0,1
81,1,4,1,1,1,4,1,2,0,0
82,2,2,0,1,1,4,4,5,6,1
83,2,1,0,1,1,5,5,5,10,1
84,2,2,1,1,1,4,4,5,12,0
85,1,1,0,1,1,4,3,5,0,1
86,2,2,0,0,1,3,5,3,0,0
87,2,3,1,1,1,4,3,5,7,1
88,3,2,1,1,1,2,4,5,20,0
89,1,3,1,1,1,4,3,4,0,1
90,2,3,0,1,1,3,3,3,0,1
91,2,2,0,1,1,4,4,3,6,0
92,2,4,1,1,0,2,2,3,1,1
93,2,1,1,1,1,2,3,1,8,1
94,2,1,0,1,0,3,2,5,6,1
95,1,2,0,1,0,3,3,2,4,0
96,1,2,1,1,1,4,4,5,2,1
97,1,4,0,1,1,1,2,3,8,0
98,1,2,0,1,0,3,4,2,4,0
99,1,1,0,0,1,3,2,5,0,0
100,1,1,0,1,1,3,2,3,18,0
101,1,2,0,1,1,3,2,3,2,0
102,1,1,1,1,1,4,5,3,0,0
103,1,4,1,1,1,5,5,2,4,1
104,2,3,1,1,1,2,3,3,10,1
105,1,4,1,1,1,2,3,4,6,1
106,1,3,1,1,1,4,3,4,0,1
107,1,3,1,1,1,3,3,5,2,1
108,1,2,1,1,1,4,4,1,0,1
109,1,1,1,1,0,4,4,5,6,1
110,3,2,1,1,1,4,3,1,2,1
111,2,1,0,1,1,1,1,5,0,1
112,1,1,0,1,1,2,2,5,14,0
113,3,1,1,1,1,4,3,5,7,0
114,1,2,1,1,1,5,2,5,0,1
115,1,2,0,1,0,5,4,4,11,0
116,2,1,1,0,1,3,2,5,0,0
117,1,2,0,1,1,1,2,2,21,1
118,1,2,0,1,1,3,3,3,6,0
119,3,1,1,1,1,3,4,3,8,1
120,1,2,0,1,1,3,3,2,0,0
121,1,1,0,1,1,3,2,5,0,1
122,1,1,1,1,1,5,5,1,14,0
123,2,1,0,1,1,3,3,3,0,1
124,1,2,0,1,1,3,1,3,2,1
125,1,2,0,1,0,3,3,2,4,0
126,2,4,1,1,1,1,2,1,2,1
127,2,2,1,1,1,4,4,4,4,0
128,1,1,1,1,1,5,5,4,8,1
129,1,3,1,1,1,3,2,5,0,1
130,3,1,1,1,1,4,5,2,0,0
131,1,4,0,1,1,1,2,3,8,0
132,1,3,1,1,1,3,3,3,3,1
133,1,2,1,1,1,4,4,2,0,1
134,1,2,1,1,1,3,4,4,0,0
135,1,2,0,1,1,3,2,3,10,1
136,1,2,0,1,1,4,3,3,12,0
137,1,4,1,1,1,2,2,2,4,1
138,1,4,0,1,1,3,3,5,4,0
139,1,2,1,1,1,3,2,5,0,1
140,2,3,0,1,1,3,3,4,4,1
141,1,1,1,1,0,3,2,5,2,1
142,1,2,0,1,1,3,2,3,2,0
143,1,1,1,1,0,3,1,2,8,1
144,1,2,0,1,1,4,2,5,0,1
145,2,3,0,1,1,4,4,3,0,0
146,1,1,0,1,1,5,5,5,0,1
147,1,2,1,1,1,3,3,5,11,1
148,1,2,0,1,0,2,2,3,12,0
149,2,2,1,1,1,5,5,2,4,1
150,1,2,0,1,1,2,4,4,14,1
151,2,4,0,1,1,2,2,3,0,0
152,1,2,0,1,0,2,2,3,12,0
153,1,2,0,1,1,2,2,5,23,1
154,2,1,0,1,0,3,2,5,0,0
155,2,2,0,1,1,3,3,4,0,1
156,1,2,1,1,1,4,5,5,16,1
157,2,2,1,1,1,3,3,5,4,1
158,2,3,1,1,1,4,2,4,8,1
159,2,1,0,1,1,3,4,4,38,0
160,2,4,0,1,1,3,2,5,0,1
161,1,3,1,1,1,3,2,5,2,1
162,1,1,0,1,1,4,1,1,0,1
163,2,1,1,1,1,2,4,3,22,0
164,2,2,0,1,1,1,3,4,2,0
165,1,2,1,1,1,3,4,4,4,0
166,2,2,1,1,1,4,4,4,4,1
167,1,1,0,0,1,3,5,4,0,0
168,2,2,0,1,1,4,5,2,10,0
169,2,2,1,1,1,4,4,5,12,0
170,1,2,0,1,1,3,3,2,10,1
171,1,2,0,1,0,1,3,3,4,1
172,1,2,0,0,0,4,2,5,2,0
173,1,2,0,1,1,2,2,1,14,1
174,1,2,1,1,1,2,4,1,2,1
175,1,2,1,1,1,3,5,5,15,0
176,1,2,1,1,1,2,4,4,8,1
177,1,3,1,1,1,4,3,4,2,1
178,2,2,1,1,1,3,3,1,0,0
179,1,3,1,1,1,4,4,4,2,0
180,1,3,1,1,0,3,2,3,1,1
181,1,1,0,1,1,4,3,4,6,1
182,1,1,0,1,1,2,3,5,4,1
183,2,1,0,1,0,4,3,3,14,0
184,1,1,1,1,1,3,3,4,0,0
185,1,2,1,1,1,4,4,3,20,1
186,1,2,0,1,1,3,3,3,4,0
187,1,2,1,1,1,4,3,3,8,1
188,1,2,0,1,1,3,3,4,5,0
189,1,3,1,1,1,4,4,4,7,0
190,1,4,1,1,1,3,3,3,10,0
191,1,2,1,1,1,4,3,1,4,0
192,2,2,1,1,1,4,4,5,0,1
193,1,3,0,1,1,3,5,3,0,0
194,2,3,0,1,1,4,3,3,4,1
195,1,2,1,1,1,3,3,3,0,0
196,3,1,0,1,1,4,1,5,0,1
197,1,2,1,1,1,4,4,4,15,0
198,1,3,0,1,1,4,3,5,28,0
199,2,1,1,1,1,3,3,4,2,1
200,1,2,1,1,0,5,3,5,0,1
201,1,4,1,1,1,5,5,5,2,0
202,1,2,1,1,1,3,3,2,0,0
203,1,2,0,1,1,4,4,3,0,1
204,1,2,1,1,1,3,4,4,12,1
205,1,1,1,1,1,3,3,3,2,1
206,1,2,0,1,1,4,4,5,0,0
207,2,2,0,1,1,3,3,1,2,1
208,2,1,1,1,1,5,4,5,30,0
209,1,3,1,1,1,3,2,5,2,0
210,2,3,0,1,0,3,3,4,2,1
211,1,2,1,1,1,3,3,4,16,0
212,2,2,1,1,0,4,3,2,2,1
213,1,2,1,1,1,3,3,1,56,0
214,1,4,1,1,1,4,1,2,0,0
215,1,2,1,1,1,4,2,5,8,0
216,1,1,0,1,1,4,4,2,4,1
217,2,1,0,0,1,4,5,5,0,0
218,1,1,0,1,1,5,2,3,10,1
219,1,2,0,1,1,3,4,4,0,1
220,1,1,0,1,0,5,3,3,3,0
221,1,2,1,1,1,3,3,4,16,0
222,2,2,0,0,1,3,5,3,0,0
223,2,2,1,0,0,4,3,5,2,1
224,2,3,1,1,1,4,2,4,6,0
225,4,2,1,1,1,3,2,3,14,0
226,1,2,0,1,1,4,5,1,22,0
227,2,2,1,1,1,3,3,1,0,1
228,3,1,0,1,1,4,4,5,4,0
229,1,1,0,0,1,2,5,5,4,0
230,1,1,0,1,1,2,3,5,5,0
231,1,2,1,1,1,3,3,3,0,0
232,1,2,1,1,1,4,3,2,4,1
233,1,3,0,1,1,3,3,2,5,1
234,1,2,1,1,1,4,3,3,18,1
235,1,2,1,1,1,4,4,5,15,0
236,2,4,1,1,0,4,4,4,0,0
237,1,1,0,0,1,3,3,3,7,0
238,2,2,1,1,0,1,1,5,0,0
239,2,2,1,1,1,3,3,4,4,1
240,1,1,0,1,1,3,4,5,0,1
241,4,2,1,0,0,3,5,5,0,0
242,1,2,0,1,1,4,4,5,10,0
243,1,2,0,1,1,3,4,1,0,0
244,1,1,0,1,1,4,2,1,5,1
245,2,1,0,1,0,4,3,3,14,0
246,2,2,1,1,1,3,1,5,0,1
247,2,1,1,1,0,5,1,5,0,0
248,1,3,0,1,1,2,2,3,0,1
249,1,2,1,1,1,3,5,5,15,0
250,1,2,0,1,1,2,3,1,2,1
251,1,2,0,1,0,1,3,5,18,0
252,1,2,0,1,1,3,4,5,2,0
253,1,2,1,1,0,2,2,5,4,1
254,1,2,1,1,1,3,3,4,16,0
255,1,2,1,1,1,3,4,2,8,1
256,1,3,1,1,1,2,2,5,2,1
257,1,2,0,1,1,4,3,3,12,0
258,1,2,1,1,1,3,3,2,0,0
259,2,1,0,1,0,5,5,5,6,1
260,3,3,1,1,1,2,2,4,4,1
261,1,2,1,1,1,4,3,2,9,1
262,1,4,0,1,1,1,2,3,8,0
263,3,2,0,1,1,3,3,4,2,1
264,1,2,0,1,1,3,3,3,4,0
265,2,1,1,0,1,3,2,5,0,0
266,1,2,1,1,1,3,2,1,0,1
267,1,2,0,1,1,4,3,5,12,1
268,2,1,0,1,1,2,4,2,24,1
269,1,4,0,1,0,3,3,4,10,1
270,2,1,1,0,1,5,1,3,2,1
271,1,1,0,0,1,5,4,4,0,0
272,3,1,1,1,1,4,3,5,7,0
273,2,1,0,1,1,2,3,4,0,1
274,1,3,0,1,1,1,2,3,40,1
275,2,1,1,1,0,5,1,5,0,0
276,1,2,0,1,1,2,3,3,0,1
277,1,1,0,1,1,4,4,3,19,1
278,1,2,1,1,1,3,3,2,0,0
279,1,3,0,1,1,3,3,3,6,1
280,1,3,1,1,1,3,3,5,0,0
281,1,3,1,1,0,3,4,5,0,0
282,2,2,1,1,1,3,2,3,2,1
283,1,2,1,1,1,4,4,3,2,0
284,3,2,0,1,1,4,4,2,8,0
285,1,2,1,1,1,3,2,5,2,0
286,1,2,1,1,1,3,2,2,0,1
287,1,1,0,1,0,2,1,4,0,1
288,1,2,1,1,0,4,3,4,6,1
289,2,1,1,1,1,3,2,5,0,1
290,2,1,0,0,1,4,5,5,0,0
291,1,2,1,1,1,5,1,5,0,1
292,2,2,0,1,1,4,5,2,10,0
293,1,3,1,1,1,3,3,5,0,0
294,2,2,1,1,1,4,4,5,2,1
295,1,1,0,1,0,5,3,3,3,0
296,1,1,1,1,1,4,4,5,18,1
297,2,2,0,1,1,4,2,5,18,0
298,1,2,0,1,1,4,1,1,0,1
299,2,2,0,1,1,3,5,2,26,0
300,1,4,0,1,1,3,3,5,4,0
301,2,1,1,1,1,4,3,5,5,0
302,1,4,0,1,1,2,3,3,0,1
303,1,2,1,1,1,3,5,3,0,0
304,1,3,0,1,1,4,5,5,0,0
305,1,2,1,1,1,3,5,3,0,0
306,1,2,1,1,1,3,2,1,0,1
307,2,1,0,1,1,3,2,3,4,1
308,1,2,0,1,1,3,2,5,2,1
309,2,4,0,1,0,1,2,3,6,1
310,2,3,0,1,1,4,4,3,0,0
311,1,3,0,1,1,4,5,5,0,0
312,1,2,0,1,1,5,2,3,0,1
313,3,2,0,1,0,3,4,5,0,1
314,2,2,0,0,1,3,5,3,0,0
315,1,3,1,1,1,3,4,5,9,0
316,2,1,1,1,0,4,4,5,0,0
317,1,1,0,0,1,3,2,5,0,0
318,3,2,1,1,0,3,2,4,4,1
319,1,3,0,1,1,1,2,3,14,1
320,2,1,1,1,1,3,2,5,0,0
321,4,1,0,1,1,4,5,4,8,1
322,1,1,1,1,1,3,3,4,0,0
323,1,2,1,1,1,2,3,2,4,1
324,1,2,1,1,1,4,5,5,10,1
325,1,2,0,1,0,2,2,3,12,0
326,1,2,1,1,1,5,4,1,17,1
327,2,2,0,1,1,3,5,2,26,0
328,1,3,0,1,1,4,3,5,28,0
329,2,2,1,1,1,3,4,2,0,0
330,1,2,1,1,1,2,2,5,8,0
331,2,3,0,1,1,4,4,3,0,0
332,1,3,1,1,1,2,3,2,6,1
333,1,1,1,1,1,5,5,1,4,1
334,3,1,1,1,1,4,3,5,7,0
335,1,2,1,1,1,3,3,2,0,0
336,1,2,1,1,1,3,3,2,0,0
337,2,2,1,1,1,3,3,5,14,0
338,2,2,0,1,0,1,4,1,6,0
339,1,3,0,1,1,5,2,3,0,1
340,2,2,1,1,1,3,4,4,8,1
341,1,4,0,1,1,3,3,5,4,0
342,2,1,1,1,1,2,4,3,22,0
343,1,1,1,1,1,3,5,5,3,1
344,1,2,0,1,1,3,3,2,4,1
345,2,1,0,0,1,4,5,5,0,0
346,1,2,1,1,1,2,3,3,2,1
347,1,2,0,1,1,4,5,5,4,1
348,1,3,0,1,1,3,2,4,9,1
349,2,3,1,1,1,2,1,3,8,1
350,1,2,0,1,1,2,4,4,13,0
351,1,1,1,1,1,3,3,4,0,0
352,2,2,0,0,1,1,1,5,75,0
353,1,2,1,1,1,3,3,5,54,1
354,1,4,1,1,1,5,5,5,2,0
355,2,3,0,1,1,2,2,5,0,0
356,2,2,1,1,1,2,5,5,2,0
357,2,1,1,1,0,3,2,3,0,0
358,1,2,1,1,0,4,4,1,2,0
359,1,3,1,1,1,3,3,3,0,0
360,1,3,1,1,1,3,4,3,4,1
361,3,1,1,1,0,2,5,4,6,1
362,1,2,0,0,1,5,4,2,0,0
363,4,2,0,1,0,3,3,5,0,0
364,1,3,1,1,1,3,4,5,0,1
365,1,2,1,1,1,4,4,4,15,0
366,1,2,1,1,1,3,3,3,0,0
367,1,1,0,0,1,3,3,2,2,1
368,1,1,1,1,1,2,2,3,2,1
369,1,1,1,1,1,5,5,4,14,0
370,1,1,0,1,1,3,4,1,6,1
371,1,3,1,1,0,2,3,4,4,0
372,2,1,1,1,1,4,2,5,0,1
373,1,4,1,1,1,3,4,4,6,1
374,1,2,0,1,1,3,1,4,0,0
375,1,2,0,1,0,3,2,5,4,1
376,2,1,1,1,1,4,3,5,5,0
377,1,3,0,1,1,4,3,5,7,1
378,2,2,1,1,0,2,2,3,4,0
379,1,2,1,1,1,3,5,3,0,0
380,1,2,1,1,1,3,2,4,2,1
381,2,2,0,1,1,2,2,1,22,1
382,2,2,0,1,0,4,3,3,2,1
383,1,3,1,1,1,3,4,5,9,0
384,1,1,0,0,1,3,2,5,0,0
385,1,2,1,1,1,3,3,5,2,1
386,1,1,0,1,1,4,4,1,2,1
387,1,4,1,1,1,2,2,5,0,1
388,1,2,1,1,0,5,2,1,2,1
389,3,2,0,1,1,3,3,2,6,1
390,2,1,1,0,0,5,2,2,16,1
391,2,3,0,1,1,3,2,4,0,1
392,3,1,0,1,1,2,1,1,0,0
393,1,4,1,1,1,4,1,2,0,0
394,2,2,0,1,1,5,4,3,2,1
395,2,3,0,1,1,3,3,2,0,1
396,2,1,1,0,1,3,2,5,0,0
397,4,1,0,1,1,5,5,5,0,1
398,2,1,0,1,0,3,3,3,3,0
399,3,1,1,1,1,4,5,2,0,0
400,1,1,1,1,1,5,5,5,16,0
401,1,2,0,1,0,3,4,5,0,0
402,1,2,0,1,1,3,3,5,8,0
403,1,2,0,1,1,3,3,2,0,0
404,1,1,0,1,1,4,5,5,0,0
405,1,2,1,1,1,3,3,5,6,1
406,2,1,1,1,0,4,4,5,0,0
407,1,2,0,1,0,3,3,5,2,1
408,1,2,1,1,0,4,4,4,6,1
409,1,4,0,1,1,1,2,3,8,0
410,1,2,1,1,1,2,3,3,14,1
411,1,2,1,1,1,3,5,2,2,1
412,1,2,1,1,1,1,2,5,6,1
413,1,3,1,1,1,3,3,1,4,1
414,1,2,1,1,1,3,3,5,4,1
415,1,3,1,1,1,4,2,5,0,0
416,4,2,0,1,0,3,3,5,0,0
417,1,3,1,1,1,3,2,3,3,1
418,2,2,0,1,1,3,5,2,26,0
419,2,2,0,1,0,2,3,5,2,1
420,1,3,1,1,1,4,4,4,2,0
421,1,2,1,1,1,4,2,5,8,0
422,1,2,1,1,1,4,4,5,2,1
423,1,2,0,1,1,2,4,4,13,0
